dt_referencia;no_produto;no_tipo;vr_real;vr_dolar
1997-03-20;cafe_arabica;cafe;211.21;199.25
1997-03-21;algodao_8_dias;algodao;88.0;82.92
1997-03-21;cafe_arabica;cafe;209.53;197.45
1997-03-24;algodao_8_dias;algodao;88.26;83.15
1997-03-24;cafe_arabica;cafe;203.53;191.76
1997-03-25;cafe_arabica;cafe;212.82;200.55
1997-03-25;algodao_8_dias;algodao;88.08;83.0
1997-03-26;cafe_arabica;cafe;225.54;212.54
1997-03-26;algodao_8_dias;algodao;88.25;83.16
1997-03-31;cafe_arabica;cafe;225.96;213.25
1997-03-31;algodao_8_dias;algodao;88.36;83.39
1997-04-01;algodao_8_dias;algodao;88.94;83.99
1997-04-01;cafe_arabica;cafe;228.33;215.63
1997-04-02;algodao_8_dias;algodao;89.34;84.32
1997-04-02;cafe_arabica;cafe;228.89;216.03
1997-04-03;cafe_arabica;cafe;214.75;203.04
1997-04-03;algodao_8_dias;algodao;89.23;84.36
1997-04-04;algodao_8_dias;algodao;89.25;84.34
1997-04-04;cafe_arabica;cafe;211.37;199.75
1997-04-07;algodao_8_dias;algodao;89.28;84.31
1997-04-07;cafe_arabica;cafe;215.1;203.11
1997-04-08;algodao_8_dias;algodao;90.0;85.03
1997-04-08;cafe_arabica;cafe;214.62;202.76
1997-04-09;algodao_8_dias;algodao;89.98;85.01
1997-04-09;cafe_arabica;cafe;220.2;208.03
1997-04-10;algodao_8_dias;algodao;90.0;85.02
1997-04-10;cafe_arabica;cafe;220.36;208.16
1997-04-11;cafe_arabica;cafe;219.83;207.56
1997-04-11;algodao_8_dias;algodao;89.93;84.91
1997-04-14;cafe_arabica;cafe;220.62;208.19
1997-04-14;algodao_8_dias;algodao;89.68;84.63
1997-04-15;cafe_arabica;cafe;221.14;208.56
1997-04-15;algodao_8_dias;algodao;89.74;84.64
1997-04-16;algodao_8_dias;algodao;89.31;84.19
1997-04-16;cafe_arabica;cafe;229.95;216.77
1997-04-17;cafe_arabica;cafe;228.81;215.65
1997-04-17;algodao_8_dias;algodao;89.53;84.38
1997-04-18;algodao_8_dias;algodao;89.29;84.11
1997-04-18;cafe_arabica;cafe;230.47;217.1
1997-04-22;algodao_8_dias;algodao;89.62;84.32
1997-04-22;cafe_arabica;cafe;223.84;210.59
1997-04-23;algodao_8_dias;algodao;89.09;83.8
1997-04-23;cafe_arabica;cafe;228.52;214.95
1997-04-24;algodao_8_dias;algodao;89.3;84.01
1997-04-24;cafe_arabica;cafe;228.85;215.28
1997-04-25;cafe_arabica;cafe;226.68;213.29
1997-04-25;algodao_8_dias;algodao;89.25;83.98
1997-04-28;algodao_8_dias;algodao;88.83;83.57
1997-04-28;cafe_arabica;cafe;228.15;214.65
1997-04-29;cafe_arabica;cafe;230.44;216.74
1997-04-29;algodao_8_dias;algodao;88.42;83.16
1997-04-30;cafe_arabica;cafe;234.46;220.44
1997-04-30;algodao_8_dias;algodao;88.24;82.96
1997-05-02;algodao_8_dias;algodao;88.33;83.02
1997-05-02;cafe_arabica;cafe;234.67;220.55
1997-05-05;algodao_8_dias;algodao;87.73;82.43
1997-05-05;cafe_arabica;cafe;236.32;222.04
1997-05-06;algodao_8_dias;algodao;87.39;82.08
1997-05-06;cafe_arabica;cafe;232.4;218.27
1997-05-07;algodao_8_dias;algodao;87.23;81.91
1997-05-07;cafe_arabica;cafe;232.21;218.04
